frame, timestamp, confidence, success, gaze_0_x, gaze_0_y, gaze_0_z, gaze_1_x, gaze_1_y, gaze_2_z, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, x_angle, y_angle
1, 0, 0.97918, 1, 0.183599, 0.0968641, -0.978217, -0.133951, 0.132849, -0.982043, -8.26671, 27.2033, 299.106, 0.187428, 0.00929878, -0.0507348, 0.00511094, 0.340559
2, 0.0333667, 0.980337, 1, 0.19117, 0.0861313, -0.977771, -0.133827, 0.132475, -0.98211, -7.65958, 26.737, 299.82, 0.187084, 0.0162588, -0.0600236, -0.000677866, 0.336331
3, 0.0667333, 0.979279, 1, 0.190216, 0.0950243, -0.977133, -0.136097, 0.125583, -0.982704, -6.93245, 25.8181, 299.94, 0.188287, 0.0218829, -0.0664787, -0.00993494, 0.339575
4, 0.1001, 0.979151, 1, 0.182077, 0.0776079, -0.980217, -0.131324, 0.1226, -0.983729, -7.58572, 23.948, 299.398, 0.184334, 0.02695, -0.072525, -0.0177692, 0.327466
5, 0.133467, 0.979295, 1, 0.251584, 0.121953, -0.960121, -0.159525, 0.258466, -0.952758, -8.85187, 22.0027, 299.207, 0.171155, 0.0331005, -0.0767823, 0.00648309, 0.407551
6, 0.166833, 0.976372, 1, 0.271585, 0.261474, -0.926214, -0.153959, 0.336654, -0.928957, -9.87726, 21.3069, 299.22, 0.156446, 0.0306048, -0.0793258, 0.0386301, 0.501742
7, 0.2002, 0.974543, 1, 0.216276, 0.219304, -0.951384, -0.188714, 0.321568, -0.927891, -10.1072, 21.2608, 297.472, 0.149998, 0.0300017, -0.0806888, -0.0117165, 0.468594
8, 0.233567, 0.978583, 1, 0.279626, 0.2643, -0.923014, -0.261608, 0.291842, -0.919994, -10.5067, 22.1856, 294.684, 0.186401, 0.0364632, -0.0847968, -0.0270008, 0.516882
9, 0.266933, 0.981339, 1, 0.101658, 0.120092, -0.987544, -0.26971, 0.172872, -0.947297, -11.2541, 25.5558, 294.685, 0.229255, 0.0472229, -0.0904389, -0.170162, 0.430554
10, 0.3003, 0.982116, 1, 0.0964974, 0.0300353, -0.99488, -0.311396, 0.120472, -0.942613, -12.6071, 30.0755, 293.657, 0.229254, 0.0528789, -0.0915206, -0.197668, 0.35503
11, 0.333667, 0.982717, 1, 0.0302863, 0.0772074, -0.996555, -0.312163, 0.145636, -0.9388, -11.0628, 28.1111, 291.691, 0.214583, 0.0480372, -0.0934051, -0.217928, 0.383186
12, 0.367033, 0.979934, 1, 0.0261519, 0.0920747, -0.995409, -0.338441, 0.148269, -0.929233, -10.1749, 28.3037, 292.65, 0.216325, 0.0549771, -0.08996, -0.248851, 0.395831
13, 0.4004, 0.979813, 1, 0.0296928, 0.0791924, -0.996417, -0.341225, 0.14237, -0.929137, -9.85935, 28.5622, 293.134, 0.214396, 0.0550133, -0.0908833, -0.249497, 0.384205
14, 0.433767, 0.979941, 1, 0.0299144, 0.0898145, -0.995509, -0.350819, 0.14327, -0.925419, -9.72645, 28.6456, 293.27, 0.211824, 0.0542008, -0.0903429, -0.253896, 0.388606
15, 0.467133, 0.979387, 1, 0.0280875, 0.0862453, -0.995878, -0.353215, 0.145623, -0.924139, -9.62898, 28.5939, 293.104, 0.210305, 0.0529022, -0.0892706, -0.254325, 0.38672
16, 0.5005, 0.979158, 1, 0.0242123, 0.0929006, -0.995381, -0.359574, 0.149882, -0.921, -9.51389, 28.3736, 293.035, 0.208803, 0.0511323, -0.0877868, -0.258216, 0.391103
17, 0.533867, 0.979805, 1, 0.0252778, 0.0915175, -0.995483, -0.36126, 0.148326, -0.920593, -9.5031, 28.351, 293.104, 0.208216, 0.0499129, -0.0868775, -0.257003, 0.388615
18, 0.567233, 0.979707, 1, 0.0255082, 0.0906743, -0.995554, -0.352729, 0.146923, -0.924119, -9.5198, 28.5545, 293.258, 0.214297, 0.0498507, -0.0865379, -0.252261, 0.392427
19, 0.6006, 0.979987, 1, 0.0239285, 0.0962948, -0.995065, -0.356426, 0.149043, -0.922359, -9.5521, 28.8885, 293.144, 0.216198, 0.049344, -0.0860443, -0.254499, 0.398172
20, 0.633967, 0.980146, 1, 0.0318092, 0.0890153, -0.995522, -0.348717, 0.14804, -0.925462, -9.50301, 29.4167, 293.394, 0.222774, 0.0482471, -0.0873453, -0.245686, 0.39948
21, 0.667333, 0.978463, 1, 0.0296358, 0.0967199, -0.99487, -0.346309, 0.146785, -0.926566, -9.57836, 29.6943, 293.27, 0.223865, 0.0487093, -0.0874124, -0.245414, 0.404232
22, 0.7007, 0.979566, 1, 0.0317682, 0.0963147, -0.994844, -0.350833, 0.147603, -0.924732, -9.69456, 29.7966, 293.12, 0.223275, 0.0478771, -0.0872123, -0.245555, 0.403614
23, 0.734067, 0.979985, 1, 0.0340977, 0.0917089, -0.995202, -0.351462, 0.144302, -0.925014, -9.82898, 29.9183, 293.421, 0.226555, 0.0490112, -0.0884853, -0.246632, 0.402807
24, 0.767433, 0.979051, 1, 0.0330858, 0.0943872, -0.994986, -0.346989, 0.148126, -0.926098, -10.0459, 29.9068, 293.43, 0.228813, 0.0491206, -0.090022, -0.244223, 0.408873
25, 0.8008, 0.979454, 1, 0.0370606, 0.090485, -0.995208, -0.347687, 0.142256, -0.926756, -10.2366, 30.0164, 293.487, 0.231152, 0.0516296, -0.0904013, -0.24582, 0.405364
26, 0.834167, 0.978723, 1, 0.0385864, 0.0903666, -0.995161, -0.346058, 0.142113, -0.927387, -10.4646, 30.1948, 293.484, 0.234613, 0.0526156, -0.0904601, -0.246134, 0.408305
27, 0.867533, 0.980004, 1, 0.0326779, 0.0966836, -0.994779, -0.345142, 0.13797, -0.928354, -10.5934, 30.3113, 293.299, 0.234402, 0.0544827, -0.0904293, -0.250898, 0.410052
28, 0.9009, 0.979659, 1, 0.0382524, 0.092122, -0.995013, -0.34406, 0.144167, -0.927814, -10.811, 30.4199, 293.294, 0.234047, 0.0548437, -0.0906035, -0.247391, 0.409737
29, 0.934267, 0.979551, 1, 0.0401553, 0.0928703, -0.994868, -0.3428, 0.140222, -0.928884, -10.942, 30.3228, 293.275, 0.231638, 0.0568326, -0.0907804, -0.2479, 0.406096
30, 0.967633, 0.980279, 1, 0.0403409, 0.0827103, -0.995757, -0.34063, 0.136609, -0.93022, -11.0131, 30.1508, 293.271, 0.236307, 0.0572928, -0.0914349, -0.247681, 0.403104
31, 1.001, 0.980125, 1, 0.0377379, 0.0773144, -0.996292, -0.34244, 0.135289, -0.929748, -11.0697, 29.8824, 293.056, 0.235231, 0.0571699, -0.0920232, -0.24954, 0.398746
32, 1.03437, 0.979679, 1, 0.0385655, 0.0806321, -0.995998, -0.343286, 0.133298, -0.929724, -11.1197, 29.7934, 293.019, 0.232342, 0.0564469, -0.0917835, -0.248491, 0.396887
33, 1.06773, 0.980194, 1, 0.0371107, 0.0783205, -0.996237, -0.342527, 0.132132, -0.93017, -11.1753, 29.8173, 292.698, 0.231585, 0.0562729, -0.0921552, -0.247854, 0.394
34, 1.1011, 0.980307, 1, 0.039539, 0.0775898, -0.996201, -0.340879, 0.1305, -0.931006, -11.3235, 29.9191, 292.861, 0.22913, 0.0570968, -0.0928787, -0.24687, 0.390339
